"model","locale","n_precincts","oos_dev_r2","mae","rmse","mean_obs","mean_pred"
"M1","Alaska",578,0.908128045584015,0.0523349611066111,0.0791803199428922,0.486278910088216,0.482817691327589
"M1","Albany",3,0.942997723391245,0.053499958848209,0.0591953141186913,0.733115254072431,0.679615295224222
"M1","Bloomington",32,-0.761473844296883,0.0741000978371858,0.0779259928679689,0.511876798107107,0.437776700269921
"M1","Boulder",88,0.78938319684764,0.133752012454876,0.140931513088416,0.781887368310134,0.648135355855258
"M1","Eureka",8,0.278683964857638,0.117531733360747,0.120963408949965,0.603344241568366,0.48581250820762
"M1","Maine",527,0.917125898986992,0.0443488103693914,0.0765236288829215,0.455775730657702,0.468115874091055
"M1","Massachusetts",2173,0.492318385092549,0.0914575908153434,0.108716566455863,0.46961945429388,0.556090017924954
"M1","Minnetonka",23,-0.163458172070872,0.0858787754694689,0.089660096721328,0.546547598359523,0.460668822890054
"M2","Alaska",578,0.847233509300081,0.0652556702981342,0.0898853564079662,0.486278910088216,0.524404107936624
"M2","Albany",3,0.985150965109794,0.0202038954978463,0.0297048310352389,0.733115254072431,0.715353757886827
"M2","Bloomington",32,-1.09149086814522,0.081070689234934,0.0852442863139648,0.511876798107107,0.430806108872173
"M2","Boulder",88,0.847657218479869,0.110365011116436,0.118407129385494,0.781887368310134,0.671522357193698
"M2","Eureka",8,0.515823671174844,0.0940349742334535,0.0984135152612877,0.603344241568366,0.509309267334913
"M2","Maine",527,0.873445882067938,0.0474317901748682,0.0780508521922164,0.455775730657702,0.443969704840117
"M2","Massachusetts",2173,0.430456216216025,0.101472565221121,0.121328680742769,0.46961945429388,0.566573509830843
"M2","Minnetonka",23,-0.0371734831846666,0.0796902060739969,0.0847265927634415,0.546547598359523,0.466857392285526
"M3","Alaska",578,0.82804843372224,0.0710356278711109,0.0968170882777127,0.486278910088216,0.53387805092606
"M3","Albany",3,0.960237537325426,0.0382169017257855,0.0443024098003966,0.733115254072431,0.771332155798216
"M3","Bloomington",32,0.785191405436337,0.0237617942642528,0.0283727434804641,0.511876798107107,0.500291263546352
"M3","Boulder",88,0.92891441993985,0.0688489873203092,0.0791885803806509,0.781887368310134,0.714611800394429
"M3","Eureka",8,0.912197251660843,0.0403150163065939,0.0424615576735624,0.603344241568366,0.572621269990043
"M3","Maine",527,0.866496505143394,0.0488860997862735,0.0789845947034319,0.455775730657702,0.438564979667148
"M3","Massachusetts",2173,0.062744187733242,0.135031341436466,0.14897766591927,0.46961945429388,0.598403545719224
"M3","Minnetonka",23,0.84892988819677,0.0271901957672566,0.0330164032791075,0.546547598359523,0.529531902242157
