"svprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"1CS-1","2","2","2","2","3569","0","0","0","0","0","0","0","0","0","220","0","0","0","0","0","0","0","0","0","0","0","61","0","0","0","0","144","0","61","0","137","0","59","1","5","0","151","153","57","145","64","170","35","134","79","166","44","136","67","108","95","158","45","79","130","155","46","109","93","155","51","0","0","0","0","0"
"1CS-1_A","2","2","2","2","0","0","0","0","0","0","0","0","0","0","2791","0","0","0","0","0","0","0","0","0","0","0","1565","0","0","0","0","1122","0","1685","0","1014","10","1591","20","48","9","1054","1432","1236","1475","1245","1792","900","1254","1458","1721","999","1399","1279","1636","1019","1802","868","1223","1443","1719","944","1308","1322","1569","1074","0","0","0","0","0"
"1E-26","2","2","2","2","208","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","8","0","3","0","7","0","3","0","0","0","7","6","4","5","5","9","1","6","4","6","4","5","5","4","6","6","4","8","2","5","5","4","6","9","1","0","0","0","0","0"
"1E-26_A","2","2","2","2","0","0","0","0","0","0","0","0","0","0","133","0","0","0","0","0","0","0","0","0","0","0","87","0","0","0","0","39","0","96","0","31","2","90","2","3","0","33","58","68","52","76","82","44","41","86","71","57","50","73","73","49","78","50","68","58","70","60","53","74","61","59","0","0","0","0","0"
"1E-28","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1E-28_A","2","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1E-30","2","2","2","2","2371","0","0","0","0","0","0","0","0","0","127","0","0","0","0","0","0","0","0","0","0","0","44","0","0","0","0","76","0","48","0","72","0","43","0","2","0","82","77","46","81","41","89","33","69","54","89","34","69","52","72","47","87","35","47","76","81","42","69","51","86","34","0","0","0","0","0"
"1E-30_A","2","2","2","2","0","0","0","0","0","0","0","0","0","0","1896","0","0","0","0","0","0","0","0","0","0","0","1211","0","0","0","0","613","0","1281","0","561","6","1229","19","23","6","583","894","904","841","999","1082","714","734","1093","1009","826","872","924","1156","627","1090","721","978","841","1097","706","863","933","947","847","0","0","0","0","0"
"1E-47","2","2","2","2","925","0","0","0","0","0","0","0","0","0","54","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","31","0","21","0","31","0","22","0","1","0","31","31","21","32","20","38","14","32","21","38","15","31","19","28","25","35","17","23","30","31","20","22","29","36","16","0","0","0","0","0"
"1E-47_A","2","2","2","2","0","0","0","0","0","0","0","0","0","0","730","0","0","0","0","0","0","0","0","0","0","0","491","0","0","0","0","218","0","512","0","194","0","511","3","11","4","192","353","338","315","397","382","309","248","462","361","346","305","379","451","233","414","282","395","299","406","283","302","386","357","332","0","0","0","0","0"
"1ES-1","2","2","2","2","1347","0","0","0","0","0","0","0","0","0","55","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","31","0","25","0","28","0","21","0","0","0","34","29","23","37","15","41","11","30","23","35","18","32","19","26","26","38","14","23","31","28","23","30","21","34","17","0","0","0","0","0"
