,,"Clinton, Hillary R.","Johnson, Gary","Stein, Jill","Trump, Donald J.","Castle, Darrell L. ","Fox, Cherunda L. ","Kotlikoff, Laurence J. ","McMullin, David Evan ",BLANK,TBC
CTY,Town,Democrat,Libertarian,Green Independent,Republican,Unenrolled,Unenrolled,Unenrolled,Unenrolled,,
AND,AUBURN,"5,296",737,207,"5,325",4,0,0,39,378,"11,986"
AND,DURHAM,"1,084",147,43,"1,266",0,0,0,0,71,"2,611"
AND,GREENE,810,150,26,"1,542",0,0,0,0,69,"2,597"
AND,LEEDS,414,75,17,751,2,0,0,8,32,"1,299"
AND,LEWISTON,"8,222",944,236,"7,336",4,0,1,49,465,"17,257"
AND,LISBON,"1,697",281,83,"2,749",3,0,0,14,119,"4,946"
AND,LIVERMORE,471,64,22,704,0,0,0,28,50,"1,339"
AND,LIVERMORE FALLS,550,114,43,728,0,0,0,0,51,"1,486"
AND,MECHANIC FALLS,515,117,24,871,0,0,0,5,54,"1,586"
AND,MINOT,539,100,22,981,0,0,0,7,34,"1,683"
AND,POLAND,"1,244",199,58,"1,685",0,0,0,7,91,"3,284"
AND,SABATTUS,865,152,50,"1,701",0,0,0,0,82,"2,850"
AND,TURNER,"1,083",149,46,"2,010",3,0,0,9,83,"3,383"
AND,WALES,219,64,6,578,3,0,0,3,18,891
,Total:,"23,009","3,293",883,"28,227",19,0,1,169,"1,597","57,198"
ARO,ALLAGASH,69,3,2,85,1,0,0,0,9,169
ARO,AMITY,29,4,2,82,2,0,0,0,5,124
ARO,ASHLAND,208,40,11,347,0,0,0,0,22,628
ARO,BIG TWENTY TWP/T15 R15 WELS                                                                                                                           ,0,0,0,2,0,0,0,0,0,2
ARO,BLAINE,94,13,2,283,1,0,0,1,5,399
ARO,BRIDGEWATER,85,17,5,202,0,0,0,0,4,313
ARO,CARIBOU,"1,595",213,45,"2,106",1,0,0,17,112,"4,089"
ARO,CARY PLT,24,6,1,81,0,0,0,0,6,118
ARO,CASTLE HILL,85,11,3,123,0,0,0,0,12,234
ARO,CASWELL,73,6,4,58,0,0,0,0,8,149
ARO,CHAPMAN,99,15,5,156,0,0,0,4,0,279
ARO,CROSS LAKE TWP (T17 R5),53,9,2,55,0,0,0,0,2,121
ARO,CRYSTAL,33,8,3,102,0,0,0,0,3,149
ARO,CYR PLT,22,1,0,28,0,0,0,0,2,53
ARO,DYER BROOK,38,9,4,96,0,0,0,0,3,150
ARO,E TWP                                                                                                                                                 ,5,1,1,28,0,0,0,0,0,35
ARO,EAGLE LAKE,218,16,3,231,0,0,0,0,15,483
ARO,EASTON,217,28,15,408,0,0,0,1,20,689
ARO,FORT FAIRFIELD,659,70,13,888,1,0,0,17,56,"1,704"
ARO,FORT KENT,986,95,30,997,2,0,0,2,75,"2,187"
ARO,FRENCHVILLE,264,22,8,312,0,0,0,2,18,626
ARO,GARFIELD PLT,14,4,1,31,0,0,0,0,3,53
ARO,GLENWOOD PLT,0,0,0,2,0,0,0,0,0,2
ARO,GRAND ISLE,122,4,4,93,0,0,0,0,10,233
ARO,HAMLIN,48,0,1,52,0,0,0,0,3,104
ARO,HAMMOND,8,3,1,37,0,0,0,0,1,50
ARO,HAYNESVILLE,11,2,1,33,0,0,0,2,1,50
ARO,HERSEY,4,5,0,23,0,0,0,2,0,34
ARO,HODGDON,148,22,6,499,0,0,0,3,12,690
ARO,HOULTON,940,134,36,"1,573",2,0,0,7,80,"2,772"
ARO,ISLAND FALLS,123,16,11,249,0,0,0,0,20,419
ARO,LIMESTONE,325,37,15,410,0,0,0,2,23,812
ARO,LINNEUS,88,17,3,358,0,0,0,0,16,482
ARO,LITTLETON,112,19,7,356,0,0,0,0,15,509
ARO,LUDLOW,65,19,4,140,0,0,0,0,6,234
ARO,MACWAHOC PLT,14,2,0,27,1,0,0,0,0,44
ARO,MADAWASKA,"1,178",94,36,845,0,0,0,1,92,"2,246"
ARO,MADAWASKA LAKE TWP (T16 R4),57,1,1,47,0,0,0,0,2,108
ARO,MAPLETON,359,57,13,693,1,0,0,1,31,"1,155"
ARO,MARS HILL,193,28,8,518,0,0,0,4,31,782
ARO,MASARDIS,44,3,2,79,0,0,0,0,2,130
ARO,MERRILL,37,11,3,82,0,0,0,0,4,137
ARO,MOLUNKUS TWP                                                                                                                                          ,19,0,0,29,0,0,0,0,0,48
ARO,MONTICELLO,96,8,6,296,0,0,0,2,17,425
ARO,MORO PLT,1,0,0,25,0,0,0,1,0,27
ARO,NASHVILLE PLT,7,1,0,12,0,0,0,0,0,20
ARO,NEW CANADA,68,4,4,85,0,0,0,0,3,164
ARO,NEW LIMERICK,97,11,2,224,0,0,0,0,13,347
ARO,NEW SWEDEN,147,24,8,185,0,0,0,2,11,377
ARO,OAKFIELD,102,16,7,254,0,0,0,2,11,392
ARO,ORIENT,13,1,1,69,0,0,0,0,5,89
ARO,OXBOW PLT,10,1,1,25,0,0,0,0,1,38
ARO,PERHAM,60,9,7,119,0,0,0,0,12,207
ARO,PORTAGE LAKE,88,6,3,153,0,0,0,0,10,260
ARO,PRESQUE ISLE,"1,779",281,78,"2,102",0,0,0,27,158,"4,425"
ARO,REED PLT,14,0,3,61,0,0,0,0,1,79
ARO,SAINT AGATHA,258,28,6,279,0,0,0,1,14,586
ARO,SAINT FRANCIS,127,10,3,96,0,0,0,1,9,246
ARO,SAINT JOHN PLT,58,9,3,92,0,0,0,0,5,167
ARO,SHERMAN,141,20,6,467,0,0,0,0,13,647
ARO,SMYRNA,38,4,4,99,0,0,0,0,8,153
ARO,STOCKHOLM,67,7,25,53,0,0,0,0,5,157
ARO,T11 R4 WELS TWP                                                                                                                                       ,7,0,1,15,0,0,0,0,1,24
ARO,T12/R13 WELS/T9 R8 WELS                                                                                                                               ,2,0,0,1,0,0,0,0,0,3
ARO,T15 R6 TWP                                                                                                                                            ,0,1,0,7,0,0,0,0,1,9
ARO,T17 R3 VAN BUREN COVE TWP                                                                                                                             ,8,2,0,12,0,0,0,0,2,24
ARO,T4 R3 TWP                                                                                                                                             ,1,0,0,0,0,0,0,0,0,1
ARO,TD R2 WELS                                                                                                                                            ,4,0,0,0,0,0,0,0,0,4
ARO,VAN BUREN,501,27,11,391,0,0,0,2,32,964
ARO,WADE,41,11,4,86,0,0,0,0,4,146
ARO,WALLAGRASS,154,9,1,127,0,0,0,0,10,301
ARO,WASHBURN,284,45,7,482,0,0,1,6,39,864
ARO,WESTFIELD,85,13,1,146,1,0,0,0,12,258
ARO,WESTMANLAND,24,0,1,24,0,0,0,0,0,49
ARO,WESTON,55,1,3,121,0,0,0,0,5,185
ARO,WINTERVILLE PLT,53,5,2,73,0,0,0,0,5,138
ARO,WOODLAND,231,33,6,392,0,0,0,0,24,686
