,,,Question 1: Citizen Initiative,,,Question 2: Citizen Initiative,,,Question 3: Citizen Initiative,,,Question 4: Citizen Initiative,,,Question 5: Citizen Initiative,,,Question 6:  Bond Issue,,,Total Ballots Cast,,,,,,,,
CTY,,MUNICIPALITY,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,YES,NO,BLANK,,,,,,,,,
AND,,AUBURN,"5,871","5,993",122,"6,258","5,592",136,"5,975","5,883",128,"6,408","5,442",136,"6,166","5,538",282,"6,952","4,788",246,"11,986",,,,,,,,
AND,*,DURHAM,"1,338","1,260",13,"1,137","1,452",22,949,"1,646",16,"1,229","1,363",19,"1,194","1,364",53,"1,301","1,264",46,"2,611",,,,,,,,
AND,*,GREENE,"1,181","1,402",15,"1,051","1,524",22,836,"1,749",12,"1,084","1,493",20,"1,046","1,494",57,"1,182","1,363",52,"2,597",,,,,,,,
AND,,LEEDS,661,628,10,558,731,10,342,948,9,552,741,6,564,718,17,625,655,19,"1,299",,,,,,,,
AND,*,LEWISTON,"8,327","8,714",215,"9,569","7,401",287,"9,339","7,699",219,"9,864","7,149",244,"9,002","7,730",525,"10,109","6,653",495,"17,257",,,,,,,,
AND,*,LISBON,"2,421","2,456",66,"2,363","2,516",67,"1,826","3,072",48,"2,250","2,625",71,"2,344","2,479",123,"2,647","2,170",129,"4,946",,,,,,,,
AND,,LIVERMORE,520,803,16,552,773,14,395,927,17,571,752,16,543,761,35,654,665,20,"1,339",,,,,,,,
AND,,LIVERMORE FALLS,744,727,15,771,695,20,444,"1,029",13,773,693,20,729,726,31,811,659,16,"1,486",,,,,,,,
AND,,MECHANIC FALLS,792,768,26,716,839,31,543,"1,025",18,717,855,14,658,881,47,758,798,30,"1,586",,,,,,,,
AND,,MINOT,748,928,7,672,997,14,604,"1,070",9,697,976,10,671,984,28,813,846,24,"1,683",,,,,,,,
AND,,POLAND,"1,616","1,653",15,"1,542","1,723",19,"1,227","2,045",12,"1,600","1,669",15,"1,531","1,698",55,"1,706","1,527",51,"3,284",,,,,,,,
AND,*,SABATTUS,"1,380","1,413",56,"1,335","1,450",65,960,"1,842",48,"1,350","1,436",64,"1,278","1,468",104,"1,310","1,444",96,"2,850",,,,,,,,
AND,*,TURNER,"1,410","1,952",21,"1,269","2,084",30,"1,049","2,312",22,"1,389","1,972",22,"1,352","1,959",72,"1,605","1,722",56,"3,383",,,,,,,,
AND,,WALES,365,520,6,340,540,11,237,648,6,311,569,11,325,541,25,353,514,24,891,,,,,,,,
,,Total:,"27,374","29,217",603,"28,133","28,317",748,"24,726","31,895",577,"28,795","27,735",668,"27,403","28,341","1,454","30,826","25,068","1,304","57,198",,,,,,,,
ARO,,ALLAGASH,60,96,13,95,61,13,61,99,9,123,39,7,78,72,19,97,56,16,169,,,,,,,,
ARO,,AMITY,45,79,0,47,77,0,20,103,1,65,57,2,40,82,2,53,69,2,124,,,,,,,,
ARO,,ASHLAND,252,351,25,296,307,25,150,452,26,314,288,26,243,344,41,331,263,34,628,,,,,,,,
ARO,,T12/R13 WELS/T9 R8 WELS,3,0,0,3,0,0,1,2,0,3,0,0,1,1,1,2,0,1,3,,,,,,,,
ARO,,BLAINE,115,277,7,157,232,10,74,321,4,164,227,8,126,248,25,162,218,19,399,,,,,,,,
ARO,,BRIDGEWATER,87,219,7,130,178,5,75,236,2,146,160,7,120,181,12,131,176,6,313,,,,,,,,
