Locality,Ward,Pct,Yes,No,Blanks,"Total Votes Cast"
Barnstable,-,1,927,"1,735",140,"2,802"
Barnstable,-,2,797,"1,509",101,"2,407"
Barnstable,-,3,610,"1,083",131,"1,824"
Barnstable,-,4,701,"1,335",152,"2,188"
Barnstable,-,5,752,"1,670",100,"2,522"
Barnstable,-,6,733,"1,576",96,"2,405"
Barnstable,-,7,869,"1,688",122,"2,679"
Barnstable,-,8,609,938,128,"1,675"
Barnstable,-,9,446,620,85,"1,151"
Barnstable,-,10,730,"1,417",99,"2,246"
Barnstable,-,11,850,"1,644",88,"2,582"
Barnstable,-,12,854,"1,603",93,"2,550"
Barnstable,-,13,590,965,98,"1,653"
Bourne,-,1,522,"1,135",109,"1,766"
Bourne,-,2,567,852,669,"2,088"
Bourne,-,3,325,786,108,"1,219"
Bourne,-,4,637,"1,330",95,"2,062"
Bourne,-,5,570,"1,179",154,"1,903"
Bourne,-,6,296,379,666,"1,341"
Bourne,-,7,544,779,544,"1,867"
Brewster,-,1,974,"1,449",123,"2,546"
Brewster,-,2,969,"1,397",125,"2,491"
Brewster,-,3,904,"1,435",118,"2,457"
Chatham,-,1,"1,677","3,137",308,"5,122"
Dennis,-,1,636,"1,433",122,"2,191"
Dennis,-,2,579,"1,537",115,"2,231"
Dennis,-,3,590,"1,111",126,"1,827"
Dennis,-,4,653,"1,345",114,"2,112"
Dennis,-,5,634,"1,292",87,"2,013"
Eastham,-,1,"1,599","2,338",180,"4,117"
Falmouth,-,1,"1,392","1,109",188,"2,689"
Falmouth,-,2,"1,002","1,211",179,"2,392"
Falmouth,-,3,764,"1,437",140,"2,341"
Falmouth,-,4,836,"1,553",134,"2,523"
Falmouth,-,5,"1,050","1,500",135,"2,685"
Falmouth,-,6,"1,010","1,372",143,"2,525"
Falmouth,-,7,802,"1,416",131,"2,349"
Falmouth,-,8,811,"1,439",107,"2,357"
Falmouth,-,9,757,"1,301",135,"2,193"
Harwich,-,1,795,"1,554",133,"2,482"
Harwich,-,2,775,"1,492",136,"2,403"
Harwich,-,3,799,"1,522",102,"2,423"
Harwich,-,4,823,"1,306",80,"2,209"
Mashpee,-,1,694,"1,549",94,"2,337"
Mashpee,-,2,611,"1,267",100,"1,978"
Mashpee,-,3,575,"1,029",70,"1,674"
Mashpee,-,4,649,"1,171",98,"1,918"
Mashpee,-,5,698,"1,631",121,"2,450"
Orleans,-,1,"1,892","2,718",275,"4,885"
