County: Precinct,YES,NO
Hennepin: MINNETONKA W-1 P-A,813,779
Hennepin: MINNETONKA W-1 P-B,682,533
Hennepin: MINNETONKA W-1 P-C,884,633
Hennepin: MINNETONKA W-1 P-D,"1,020",888
Hennepin: MINNETONKA W-1 P-E,594,490
Hennepin: MINNETONKA W-1 P-F,836,637
Hennepin: MINNETONKA W-2 P-A,717,585
Hennepin: MINNETONKA W-2 P-B,"1,115",736
Hennepin: MINNETONKA W-2 P-C,"1,073",791
Hennepin: MINNETONKA W-2 P-D,"1,055",689
Hennepin: MINNETONKA W-2 P-E,906,604
Hennepin: MINNETONKA W-3 P-A,629,440
Hennepin: MINNETONKA W-3 P-B,741,575
Hennepin: MINNETONKA W-3 P-C,762,674
Hennepin: MINNETONKA W-3 P-D,807,818
Hennepin: MINNETONKA W-3 P-E,647,556
Hennepin: MINNETONKA W-3 P-F,"1,042",949
Hennepin: MINNETONKA W-4 P-A,561,576
Hennepin: MINNETONKA W-4 P-B,655,552
Hennepin: MINNETONKA W-4 P-C,761,733
Hennepin: MINNETONKA W-4 P-D,756,791
Hennepin: MINNETONKA W-4 P-E,707,609
Hennepin: MINNETONKA W-4 P-F,712,655
Candidate Totals:,"18,475","15,293"
